frame,t_s,x,y,vis
30,118.279,442,592,V
31,118.312,450,591,V
32,118.346,457,577,V
33,118.379,462,567,V
34,118.412,466,561,V
35,118.446,473,551,V
36,118.479,474,551,V
37,118.512,474,544,V
38,118.546,479,544,V
39,118.579,485,545,V
40,118.612,485,545,V
41,118.646,489,548,V
42,118.679,494,556,V
43,118.712,497,565,V
44,118.746,498,569,V
45,118.779,502,581,V
46,118.812,501,574,I
47,118.846,535,516,S
48,118.879,562,466,S
49,118.912,586,418,S
50,118.946,603,386,S
51,118.979,,,N
52,119.012,635,335,V
53,119.046,652,310,S
54,119.079,666,292,S
55,119.112,679,276,S
56,119.146,690,262,S
57,119.179,699,252,V
58,119.212,710,245,V
59,119.246,721,238,S
60,119.279,729,234,V
61,119.312,735,230,V
62,119.346,745,229,V
63,119.379,750,229,V
64,119.412,754,229,V
65,119.446,763,233,V
66,119.479,766,233,V
67,119.512,772,223,S
68,119.546,777,214,V
69,119.579,780,201,V
70,119.612,784,187,V
71,119.646,786,178,V
72,119.679,794,169,V
73,119.712,795,162,V
74,119.746,798,158,V
75,119.779,800,153,V
76,119.812,802,149,V
77,119.846,805,148,V
78,119.879,809,145,V
79,119.912,811,145,V
80,119.946,807,144,V
81,119.979,804,142,V
82,120.012,799,140,V
83,120.046,796,142,V
84,120.079,793,142,V
85,120.112,789,145,V
86,120.146,785,145,V
87,120.179,782,149,V
88,120.212,777,151,V
89,120.246,770,156,V
90,120.279,767,164,V
91,120.312,762,169,V
92,120.346,761,174,V
93,120.379,751,187,S
94,120.412,747,198,S
95,120.446,740,207,V
96,120.479,736,219,V
97,120.512,727,234,V
98,120.546,722,251,V
99,120.579,718,266,S
100,120.612,711,284,S
101,120.646,705,303,S
102,120.679,700,320,S
103,120.712,689,345,V
104,120.746,687,370,S
105,120.779,674,394,S
106,120.812,670,416,S
107,120.846,662,444,S
108,120.879,654,476,S
109,120.912,647,507,S
110,120.946,640,540,S
111,120.979,633,544,V
112,121.012,633,544,V
113,121.046,622,537,V
114,121.079,618,537,V
115,121.112,614,539,V
116,121.146,606,540,V
117,121.179,603,548,V
118,121.212,594,553,V
119,121.246,593,558,V
120,121.279,586,565,V
121,121.312,582,581,V
122,121.346,570,558,I
123,121.379,562,500,I
124,121.412,550,460,S
125,121.446,539,423,S
126,121.479,529,388,S
127,121.512,527,357,S
128,121.546,516,336,V
129,121.579,512,311,V
130,121.612,505,295,V
131,121.646,496,274,V
132,121.679,494,260,V
133,121.712,487,250,V
134,121.746,482,239,V
135,121.779,480,231,V
136,121.812,475,224,V
137,121.846,474,220,V
138,121.879,466,215,V
139,121.912,475,218,V
140,121.946,484,215,V
141,121.979,498,218,V
142,122.012,508,220,V
143,122.046,521,222,V
144,122.079,530,225,V
145,122.112,545,231,V
146,122.146,559,240,V
147,122.179,571,245,V
148,122.212,581,250,V
149,122.246,596,266,V
150,122.279,608,272,V
151,122.312,623,284,S
152,122.346,640,303,S
153,122.379,650,313,S
154,122.412,665,327,S
155,122.446,678,347,V
156,122.479,,,N
157,122.512,713,385,V
158,122.546,724,406,V
159,122.579,743,428,S
160,122.612,756,450,S
161,122.646,775,482,S
162,122.679,785,481,S
163,122.712,795,474,V
164,122.746,810,469,V
165,122.779,815,469,V
166,122.812,831,469,V
167,122.846,837,469,V
168,122.879,846,469,V
169,122.912,862,470,V
170,122.946,869,474,V
171,122.979,881,481,V
172,123.012,887,481,I
173,123.046,892,487,V
174,123.079,873,423,S
175,123.112,860,373,S
176,123.146,846,329,S
177,123.179,833,290,S
178,123.212,821,260,S
179,123.246,807,220,S
180,123.279,798,193,S
181,123.312,785,162,S
182,123.346,774,134,V
183,123.379,766,114,V
184,123.412,753,92,V
185,123.446,743,76,V
186,123.479,732,54,V
187,123.512,721,38,V
188,123.546,716,22,V
189,123.579,704,12,V
190,123.612,695,1,V
191,123.646,,,N
192,123.679,,,N
193,123.712,,,N
194,123.746,,,N
195,123.779,,,N
196,123.812,,,N
197,123.846,,,N
198,123.879,,,N
199,123.912,,,N
200,123.946,,,N
201,123.979,,,N
202,124.012,,,N
203,124.046,,,N
204,124.079,,,N
205,124.112,,,N
206,124.146,,,N
