frame,t_s,x,y,vis
0,145.340,716,455,I
1,145.373,700,448,I
2,145.407,688,446,I
3,145.440,670,446,I
4,145.473,668,455,I
5,145.507,651,459,I
6,145.540,645,463,V
7,145.573,631,468,V
8,145.607,618,474,V
9,145.640,601,466,V
10,145.673,590,481,V
11,145.707,587,485,V
12,145.740,586,497,V
13,145.773,586,496,V
14,145.807,598,490,V
15,145.840,607,481,V
16,145.873,619,464,V
17,145.907,633,448,V
18,145.940,642,434,V
19,145.973,660,412,V
20,146.007,668,391,V
21,146.040,667,385,V
22,146.073,667,374,V
23,146.107,667,373,V
24,146.140,667,378,V
25,146.173,666,385,V
26,146.207,665,395,V
27,146.240,660,420,V
28,146.273,657,442,V
29,146.307,663,466,V
30,146.340,692,498,S
31,146.373,799,485,I
32,146.407,,,N
33,146.440,750,402,V
34,146.473,730,373,V
35,146.507,702,340,S
36,146.540,677,306,V
37,146.573,660,287,S
38,146.607,641,270,V
39,146.640,626,257,V
40,146.673,609,240,S
41,146.707,596,228,V
42,146.740,583,220,V
43,146.773,569,213,V
44,146.807,560,209,V
45,146.840,546,204,V
46,146.873,539,203,V
47,146.907,530,204,V
48,146.940,521,207,V
49,146.973,513,209,V
50,147.007,506,210,V
51,147.040,501,215,V
52,147.073,494,222,V
53,147.107,484,206,S
54,147.140,481,191,S
55,147.173,479,180,V
56,147.207,471,167,V
57,147.240,470,159,V
58,147.273,464,146,V
59,147.307,460,142,V
60,147.340,455,135,V
61,147.373,452,128,V
62,147.407,448,126,V
63,147.440,446,124,V
64,147.473,449,126,V
65,147.507,453,128,V
66,147.540,457,128,V
67,147.573,462,132,V
68,147.607,463,135,V
69,147.640,468,143,V
70,147.673,479,160,V
71,147.707,473,155,V
72,147.740,480,165,V
73,147.773,486,177,V
74,147.807,492,188,V
75,147.840,495,197,V
76,147.873,498,214,V
77,147.907,506,228,V
78,147.940,511,245,V
79,147.973,516,263,V
80,148.007,521,286,V
81,148.040,526,306,V
82,148.073,533,330,V
83,148.107,538,352,V
84,148.140,543,379,V
85,148.173,549,406,S
86,148.207,556,439,V
87,148.240,564,466,V
88,148.273,565,468,V
89,148.307,569,469,V
90,148.340,571,466,V
91,148.373,577,473,V
92,148.407,580,473,V
93,148.440,583,478,V
94,148.473,588,489,V
95,148.507,591,498,V
96,148.540,593,503,V
97,148.573,599,513,V
98,148.607,602,519,I
99,148.640,607,490,I
100,148.673,593,444,V
101,148.707,593,415,V
102,148.740,591,384,V
103,148.773,588,359,S
104,148.807,583,335,V
105,148.840,581,309,S
106,148.873,577,290,V
107,148.907,575,272,V
108,148.940,574,258,V
109,148.973,570,245,V
110,149.007,566,233,V
111,149.040,562,222,V
112,149.073,561,213,V
113,149.107,558,203,V
114,149.140,556,197,V
115,149.173,553,193,V
116,149.207,551,193,V
117,149.240,548,190,V
118,149.273,546,187,V
119,149.307,542,188,V
120,149.340,539,188,V
121,149.373,538,192,V
122,149.407,534,194,V
123,149.440,534,198,V
124,149.473,532,203,V
125,149.507,529,208,V
126,149.540,532,210,V
127,149.573,539,217,V
128,149.607,546,220,V
129,149.640,553,226,V
130,149.673,559,235,V
131,149.707,567,244,V
132,149.740,576,256,V
133,149.773,585,271,V
134,149.807,594,284,V
135,149.840,602,299,V
136,149.873,,,N
137,149.907,619,337,V
138,149.940,630,356,V
139,149.973,644,375,V
140,150.007,645,354,S
141,150.040,646,325,V
142,150.073,647,299,S
143,150.107,652,277,S
144,150.140,654,257,V
145,150.173,657,240,V
146,150.207,658,220,V
147,150.240,661,212,V
148,150.273,662,194,V
149,150.307,668,186,V
150,150.340,667,177,V
151,150.373,671,171,V
152,150.407,673,165,V
153,150.440,674,158,V
154,150.473,681,161,V
155,150.507,697,183,S
156,150.540,711,212,S
157,150.573,726,238,S
158,150.607,743,268,S
159,150.640,757,295,S
160,150.673,773,329,S
161,150.707,789,364,S
162,150.740,805,398,S
163,150.773,823,442,S
164,150.807,838,480,V
165,150.840,849,475,I
166,150.873,860,479,I
167,150.907,864,441,S
168,150.940,866,412,V
169,150.973,868,386,V
170,151.007,866,363,V
171,151.040,869,345,V
172,151.073,870,326,V
173,151.107,873,311,V
174,151.140,874,297,V
175,151.173,875,283,V
176,151.207,876,268,V
177,151.240,874,262,S
178,151.273,878,251,V
179,151.307,879,242,V
180,151.340,879,234,V
181,151.373,880,228,V
182,151.407,881,224,V
183,151.440,881,218,V
184,151.473,882,217,V
185,151.507,882,215,V
186,151.540,881,215,V
187,151.573,881,212,V
188,151.607,882,214,V
189,151.640,881,215,V
190,151.673,882,217,V
191,151.707,881,218,V
192,151.740,884,219,V
193,151.773,884,226,V
194,151.807,880,228,V
195,151.840,,,N
