frame,t_s,x,y,vis
0,253.062,,,N
1,253.095,,,N
2,253.129,,,N
3,253.162,,,N
4,253.195,,,N
5,253.229,,,N
6,253.262,,,N
7,253.295,,,N
8,253.329,,,N
9,253.362,,,N
10,253.395,,,N
11,253.429,,,N
12,253.462,820,610,V
13,253.495,820,606,V
14,253.529,821,603,V
15,253.562,817,602,V
16,253.595,820,596,V
17,253.629,822,585,I
18,253.662,821,572,V
19,253.695,820,564,V
20,253.729,815,554,V
21,253.762,815,551,V
22,253.795,816,548,V
23,253.829,818,549,V
24,253.862,816,548,V
25,253.895,816,548,V
26,253.929,816,554,V
27,253.962,820,559,V
28,253.995,818,564,V
29,254.029,818,570,V
30,254.062,821,581,V
31,254.095,800,545,I
32,254.129,753,479,S
33,254.162,729,434,S
34,254.195,704,399,S
35,254.229,681,368,S
36,254.262,657,335,S
37,254.295,640,314,S
38,254.329,622,289,S
39,254.362,606,270,S
40,254.395,588,257,V
41,254.429,574,242,V
42,254.462,560,235,S
43,254.495,548,226,V
44,254.529,559,350,V
45,254.562,529,218,V
46,254.595,518,214,V
47,254.629,508,213,V
48,254.662,503,214,V
49,254.695,495,215,V
50,254.729,487,214,V
51,254.762,481,222,V
52,254.795,474,225,V
53,254.829,470,218,S
54,254.862,465,203,V
55,254.895,462,193,S
56,254.929,457,178,S
57,254.962,450,170,V
58,254.995,444,158,V
59,255.029,441,151,V
60,255.062,441,144,V
61,255.095,434,139,V
62,255.129,431,134,V
63,255.162,426,133,V
64,255.195,425,129,V
65,255.229,433,126,V
66,255.262,441,128,V
67,255.295,443,130,V
68,255.329,452,130,V
69,255.362,459,132,V
70,255.395,466,137,V
71,255.429,474,143,V
72,255.462,480,148,V
73,255.495,487,155,V
74,255.529,495,164,V
75,255.562,505,174,S
76,255.595,511,180,S
77,255.629,519,194,S
78,255.662,527,207,S
79,255.695,535,220,S
80,255.729,545,235,S
81,255.762,554,252,S
82,255.795,562,274,S
83,255.829,571,292,S
84,255.862,581,313,S
85,255.895,591,341,S
86,255.929,599,366,S
87,255.962,612,394,S
88,255.995,620,420,S
89,256.029,631,453,S
90,256.062,642,484,S
91,256.095,654,524,S
92,256.129,662,539,V
93,256.162,671,538,V
94,256.195,676,534,V
95,256.229,687,542,V
96,256.262,689,540,V
97,256.295,700,544,V
98,256.329,705,551,V
99,256.362,713,558,V
100,256.395,721,565,V
101,256.429,734,577,I
102,256.462,741,596,I
103,256.495,742,601,I
104,256.529,748,597,V
105,256.562,747,586,V
106,256.595,729,484,S
107,256.629,718,428,S
108,256.662,705,383,S
109,256.695,699,338,S
110,256.729,690,298,S
111,256.762,686,270,S
112,256.795,672,233,S
113,256.829,668,203,S
114,256.862,660,176,S
115,256.895,654,153,S
116,256.929,647,129,S
117,256.962,640,110,V
118,256.995,633,90,V
119,257.029,629,73,V
120,257.062,622,60,V
121,257.095,618,50,V
122,257.129,612,41,V
123,257.162,602,32,V
124,257.195,596,25,V
125,257.229,590,15,V
126,257.262,588,14,V
127,257.295,583,10,V
128,257.329,574,5,V
129,257.362,572,10,V
130,257.395,564,11,V
131,257.429,561,10,V
132,257.462,559,10,V
133,257.495,558,17,V
134,257.529,553,17,V
135,257.562,549,26,V
136,257.595,542,33,V
137,257.629,542,38,V
138,257.662,537,47,V
139,257.695,534,58,V
140,257.729,529,64,V
141,257.762,526,74,V
142,257.795,524,84,V
143,257.829,521,92,V
144,257.862,522,102,V
145,257.895,522,113,V
146,257.929,522,121,V
147,257.962,523,135,V
148,257.995,523,144,V
149,258.029,523,151,V
150,258.062,527,175,V
151,258.095,527,187,S
152,258.129,526,204,S
153,258.162,527,225,S
154,258.195,528,244,S
155,258.229,529,266,S
156,258.262,532,292,S
157,258.295,533,313,S
158,258.329,537,343,S
159,258.362,537,374,S
160,258.395,540,400,S
