frame_file,rally_cum,stratum,t_video,x_frac,y_frac,visible,is_contact
f0000_r1_fast_t12.012_2.jpg,1,fast,12.012,,,0,0
f0001_r1_fast_t14.750_2.jpg,1,fast,14.750,0.64962,0.35354,1,0
f0002_r1_fast_t20.904_2.jpg,1,fast,20.904,0.60890,0.28283,1,0
f0003_r1_fast_t21.902_2.jpg,1,fast,21.902,0.55777,0.28956,1,0
f0004_r1_fast_t27.170_2.jpg,1,fast,27.170,0.25758,0.47811,1,0
f0005_r2_random_t57.043_2.jpg,2,random,57.043,0.32386,0.78956,1,0
f0006_r3_random_t93.975_2.jpg,3,random,93.975,0.39773,0.28451,1,0
f0007_r3_random_t94.719_2.jpg,3,random,94.719,,,0,0
f0008_r3_random_t95.760_2.jpg,3,random,95.760,0.47633,0.34680,1,0
f0009_r3_fast_t99.067_2.jpg,3,fast,99.067,0.39489,0.27946,1,0
f0010_r3_random_t102.731_2.jpg,3,random,102.731,0.38920,0.36027,1,0
f0011_r3_fast_t105.892_2.jpg,3,fast,105.892,0.63920,0.39731,1,0
f0012_r3_random_t107.174_2.jpg,3,random,107.174,0.64867,0.25253,1,0
f0013_r3_fast_t108.005_2.jpg,3,fast,108.005,0.62216,0.56061,1,0
f0014_r3_fast_t114.460_2.jpg,3,fast,114.460,,,0,0
f0015_r4_fast_t132.632_2.jpg,4,fast,132.632,0.64110,0.35017,1,0
f0016_r4_random_t136.009_2.jpg,4,random,136.009,0.44886,0.32155,1,0
f0017_r4_random_t138.006_2.jpg,4,random,138.006,0.60985,0.81987,1,0
f0018_r5_random_t148.774_2.jpg,5,random,148.774,0.46117,0.52357,1,0
f0019_r5_random_t151.340_2.jpg,5,random,151.340,0.68655,0.33502,1,0
f0020_r5_fast_t153.543_2.jpg,5,fast,153.543,0.72538,0.18855,1,0
f0021_r5_random_t154.964_2.jpg,5,random,154.964,,,0,0
f0022_r5_random_t157.378_2.jpg,5,random,157.378,0.64299,0.16162,1,0
f0023_r5_fast_t162.233_2.jpg,5,fast,162.233,0.36932,0.21549,1,0
