frame,t_s,x,y,vis
0,189.572,667,140,V
1,189.605,667,142,V
2,189.639,668,140,V
3,189.672,671,144,V
4,189.705,670,143,V
5,189.739,668,144,V
6,189.772,667,144,V
7,189.805,666,144,V
8,189.839,663,146,V
9,189.872,670,146,V
10,189.905,665,144,V
11,189.939,663,140,V
12,189.972,662,146,V
13,190.005,662,144,V
14,190.039,661,143,V
15,190.072,658,143,V
16,190.105,656,140,V
17,190.139,652,139,V
18,190.172,652,134,V
19,190.205,647,135,V
20,190.239,645,133,V
21,190.272,644,134,V
22,190.305,640,130,V
23,190.339,640,128,V
24,190.372,639,129,V
25,190.405,636,126,V
26,190.439,634,130,V
27,190.472,635,133,V
28,190.505,630,142,V
29,190.539,630,143,V
30,190.572,628,140,V
31,190.605,618,140,V
32,190.639,610,138,V
33,190.672,601,134,V
34,190.705,592,143,V
35,190.739,582,144,V
36,190.772,572,149,V
37,190.805,562,158,V
38,190.839,553,162,V
39,190.872,546,174,V
40,190.905,534,190,V
41,190.939,526,196,V
42,190.972,512,214,V
43,191.005,503,233,V
44,191.039,495,247,V
45,191.072,480,272,S
46,191.105,474,289,V
47,191.139,462,319,V
48,191.172,448,346,V
49,191.205,437,372,S
50,191.239,423,405,S
51,191.272,410,436,S
52,191.305,400,475,S
53,191.339,389,516,S
54,191.372,374,556,S
55,191.405,361,594,V
56,191.439,350,592,V
57,191.472,331,603,V
58,191.505,325,608,V
59,191.539,313,612,V
60,191.572,300,623,V
61,191.605,288,634,V
62,191.639,274,650,V
63,191.672,260,665,V
64,191.705,249,681,V
65,191.739,262,639,S
66,191.772,278,588,S
67,191.805,302,532,S
68,191.839,315,486,S
69,191.872,331,446,S
70,191.905,350,415,S
71,191.939,356,386,S
72,191.972,374,356,S
73,192.005,383,337,V
74,192.039,396,314,V
75,192.072,400,302,V
76,192.105,411,286,V
77,192.139,420,271,V
78,192.172,430,263,S
79,192.205,434,251,S
80,192.239,446,247,V
81,192.272,454,241,V
82,192.305,462,240,V
83,192.339,465,239,V
84,192.372,474,238,V
85,192.405,480,234,V
86,192.439,486,234,V
87,192.472,494,238,V
88,192.505,496,242,V
89,192.539,497,241,V
90,192.572,507,246,V
91,192.605,511,230,V
92,192.639,514,218,S
93,192.672,513,207,S
94,192.705,514,203,S
95,192.739,519,191,S
96,192.772,523,185,S
97,192.805,523,181,S
98,192.839,,,N
99,192.872,529,169,V
100,192.905,530,165,V
101,192.939,532,164,V
102,192.972,538,161,V
103,193.005,539,159,V
104,193.039,539,161,V
105,193.072,538,151,V
106,193.105,532,146,V
107,193.139,530,139,V
108,193.172,528,133,V
109,193.205,529,133,V
110,193.239,522,126,V
111,193.272,521,126,V
112,193.305,518,121,V
113,193.339,516,118,V
114,193.372,513,122,V
115,193.405,508,121,V
116,193.439,503,124,V
117,193.472,503,123,V
118,193.505,496,129,V
119,193.539,489,135,V
120,193.572,485,142,V
121,193.605,482,145,V
122,193.639,480,154,V
123,193.672,475,162,V
124,193.705,471,172,V
125,193.739,466,181,V
126,193.772,460,192,V
127,193.805,453,206,V
128,193.839,455,220,V
129,193.872,447,236,V
130,193.905,444,251,V
131,193.939,438,270,S
132,193.972,433,289,V
133,194.005,432,300,I
134,194.039,453,277,V
135,194.072,469,258,V
136,194.105,481,247,V
137,194.139,497,233,V
138,194.172,514,215,S
139,194.205,527,207,S
140,194.239,540,197,V
141,194.272,551,188,S
142,194.305,569,181,S
143,194.339,576,176,V
144,194.372,591,171,S
145,194.405,602,169,S
146,194.439,613,170,V
147,194.472,622,170,V
148,194.505,630,166,V
149,194.539,644,169,V
150,194.572,649,172,V
151,194.605,660,176,V
152,194.639,668,176,V
153,194.672,667,170,V
154,194.705,667,166,V
155,194.739,663,158,V
156,194.772,667,156,V
157,194.805,665,154,V
158,194.839,670,151,V
159,194.872,668,153,V
160,194.905,668,153,V
161,194.939,671,154,V
162,194.972,668,155,V
163,195.005,671,160,V
164,195.039,671,164,V
165,195.072,671,170,V
166,195.105,672,176,V
167,195.139,674,185,V
168,195.172,674,193,V
169,195.205,676,203,V
170,195.239,679,212,V
171,195.272,679,222,V
172,195.305,679,238,V
173,195.339,679,256,V
174,195.372,682,271,V
175,195.405,684,283,V
176,195.439,686,306,V
177,195.472,681,303,V
178,195.505,673,286,S
179,195.539,663,265,S
180,195.572,655,252,S
181,195.605,647,231,V
182,195.639,638,218,S
183,195.672,629,207,S
184,195.705,625,197,V
185,195.739,618,183,S
186,195.772,608,177,S
187,195.805,607,176,S
188,195.839,599,170,S
189,195.872,594,170,V
190,195.905,590,165,V
191,195.939,585,164,V
192,195.972,576,165,V
193,196.005,567,171,V
194,196.039,546,182,I
195,196.072,540,186,V
196,196.105,530,192,V
197,196.139,518,208,S
198,196.172,503,218,V
199,196.205,490,230,V
200,196.239,475,252,V
201,196.272,460,265,S
202,196.305,442,287,V
203,196.339,428,303,S
204,196.372,415,327,S
205,196.405,398,350,S
206,196.439,377,379,S
207,196.472,364,406,S
208,196.505,343,436,S
209,196.539,325,469,S
210,196.572,310,507,S
211,196.605,287,537,S
212,196.639,268,577,S
213,196.672,251,588,V
214,196.705,231,591,V
215,196.739,217,594,V
216,196.772,196,603,V
217,196.805,181,617,V
218,196.839,161,628,V
219,196.872,140,642,V
220,196.905,117,660,V
221,196.939,100,677,V
222,196.972,76,699,V
223,197.005,58,716,V
