frame,t_s,x,y,vis
0,9.224,487,156,V
1,9.257,485,148,V
2,9.291,485,145,V
3,9.324,486,140,V
4,9.357,485,144,V
5,9.391,482,148,V
6,9.424,482,145,V
7,9.457,481,148,V
8,9.491,481,139,V
9,9.524,482,143,V
10,9.557,482,143,V
11,9.591,480,142,V
12,9.624,480,142,V
13,9.657,481,145,V
14,9.691,480,140,V
15,9.724,474,143,V
16,9.757,475,143,V
17,9.791,478,142,V
18,9.824,475,142,V
20,9.891,471,137,V
21,9.924,469,134,V
22,9.957,468,132,V
23,9.991,464,133,V
24,10.024,463,130,V
25,10.057,460,132,V
26,10.091,460,133,V
27,10.124,459,134,V
28,10.157,458,134,V
29,10.191,455,142,V
30,10.224,454,142,V
31,10.257,466,145,V
32,10.291,479,144,V
33,10.324,495,143,V
34,10.357,511,148,V
35,10.391,523,154,V
36,10.424,539,158,V
37,10.457,558,166,V
38,10.491,576,175,S
39,10.524,593,185,S
40,10.557,610,199,S
41,10.591,633,215,S
42,10.624,650,231,S
43,10.657,671,246,S
44,10.691,689,271,V
45,10.724,713,288,S
46,10.757,732,313,S
47,10.791,753,341,S
48,10.824,777,369,S
49,10.857,801,401,S
50,10.891,825,432,V
51,10.924,852,469,S
52,10.957,878,510,S
53,10.991,895,527,V
54,11.024,922,526,V
55,11.057,948,532,V
56,11.091,969,534,V
57,11.124,992,542,V
58,11.157,1020,549,V
59,11.191,1042,559,S
60,11.224,1071,574,S
61,11.257,1100,586,S
62,11.291,1141,613,I
63,11.324,1164,626,V
64,11.357,1163,618,I
65,11.391,1088,542,S
66,11.424,1041,490,S
67,11.457,998,443,V
68,11.491,959,409,S
69,11.524,924,374,V
70,11.557,892,341,S
71,11.591,864,315,S
72,11.624,837,292,S
73,11.657,807,270,S
74,11.691,785,251,S
75,11.724,766,236,S
76,11.757,742,222,S
77,11.791,726,213,S
78,11.824,710,201,S
79,11.857,692,193,V
80,11.891,673,183,V
81,11.924,660,180,V
82,11.957,646,178,V
83,11.991,636,176,V
84,12.024,620,175,V
85,12.057,609,174,V
86,12.091,599,170,V
87,12.124,588,174,V
88,12.157,578,176,V
89,12.191,569,177,V
90,12.224,560,181,V
91,12.257,551,187,V
92,12.291,540,191,V
93,12.324,534,197,V
94,12.357,527,201,V
95,12.391,523,210,V
96,12.424,516,197,V
97,12.457,514,186,V
98,12.491,510,178,V
99,12.524,506,165,V
100,12.557,502,159,V
101,12.591,500,149,V
102,12.624,495,143,V
103,12.657,495,139,V
104,12.691,492,134,V
105,12.724,496,126,V
106,12.757,506,126,V
107,12.791,,,N
108,12.824,,,N
109,12.857,534,114,V
110,12.891,543,113,V
111,12.924,553,113,V
112,12.957,564,114,V
113,12.991,574,116,V
114,13.024,583,119,V
115,13.057,596,123,V
116,13.091,606,127,V
117,13.124,617,130,V
118,13.157,629,140,V
119,13.191,640,146,V
120,13.224,650,153,V
121,13.257,661,164,V
122,13.291,673,175,V
123,13.324,687,188,V
124,13.357,693,201,V
125,13.391,709,213,V
126,13.424,720,228,V
127,13.457,732,242,V
128,13.491,746,258,S
129,13.524,758,279,S
130,13.557,770,302,S
131,13.591,783,320,V
132,13.624,802,348,I
133,13.657,806,364,V
134,13.691,820,386,V
135,13.724,826,386,V
136,13.757,836,380,V
137,13.791,846,379,V
138,13.824,858,370,V
139,13.857,860,367,V
140,13.891,871,368,V
141,13.924,880,366,V
142,13.957,887,369,I
143,13.991,884,353,I
144,14.024,874,326,I
145,14.057,,,N
146,14.091,,,N
147,14.124,,,N
148,14.157,,,N
149,14.191,,,N
150,14.224,865,252,V
151,14.257,862,246,V
152,14.291,859,238,V
153,14.324,855,231,V
154,14.357,854,230,V
155,14.391,850,226,V
156,14.424,848,229,V
157,14.457,847,226,V
158,14.491,847,226,V
159,14.524,843,225,V
160,14.557,839,231,V
161,14.591,837,231,V
162,14.624,836,236,V
