frame,t_s,x,y,vis
0,165.030,474,133,V
1,165.063,474,137,V
2,165.097,474,140,V
3,165.130,473,142,V
4,165.163,476,142,V
5,165.197,473,138,V
6,165.230,473,145,V
7,165.263,474,145,V
8,165.297,473,146,V
9,165.330,471,144,V
10,165.363,471,144,V
11,165.397,470,144,V
12,165.430,470,144,V
13,165.463,470,144,V
14,165.497,468,143,V
15,165.530,466,144,V
16,165.563,465,143,V
17,165.597,464,139,V
18,165.630,460,134,V
19,165.663,460,137,V
20,165.697,458,134,V
21,165.730,458,130,V
22,165.763,455,133,V
23,165.797,453,132,V
24,165.830,450,130,V
25,165.863,449,132,V
26,165.897,447,132,V
27,165.930,446,135,V
28,165.963,443,142,V
29,165.997,443,142,V
30,166.030,452,142,V
31,166.063,464,144,V
32,166.097,476,145,V
33,166.130,491,148,V
34,166.163,505,154,V
35,166.197,521,156,V
36,166.230,534,161,V
37,166.263,554,172,V
38,166.297,569,181,S
39,166.330,583,190,S
40,166.363,602,203,S
41,166.397,617,217,S
42,166.430,638,231,S
43,166.463,656,252,V
44,166.497,681,276,S
45,166.530,695,293,S
46,166.563,720,320,S
47,166.597,737,347,S
48,166.630,762,377,S
49,166.663,782,405,S
50,166.697,806,443,S
51,166.730,827,473,S
52,166.763,849,511,S
53,166.797,878,551,S
54,166.830,895,558,S
55,166.863,926,559,V
56,166.897,938,562,V
57,166.930,960,570,V
58,166.963,990,585,I
59,166.997,1003,586,I
60,167.030,1026,599,V
61,167.063,1018,580,V
62,167.097,994,534,I
63,167.130,970,482,V
64,167.163,953,448,V
65,167.197,927,409,S
66,167.230,902,377,S
67,167.263,884,345,S
68,167.297,868,324,V
69,167.330,852,303,V
70,167.363,839,284,V
71,167.397,822,267,S
72,167.430,810,255,S
73,167.463,796,241,S
74,167.497,788,230,S
75,167.530,778,226,V
76,167.563,767,214,V
77,167.597,762,212,V
78,167.630,750,208,S
79,167.663,742,204,S
80,167.697,735,203,V
81,167.730,729,204,V
82,167.763,721,201,V
83,167.797,713,202,V
84,167.830,708,204,V
85,167.863,704,208,V
86,167.897,697,209,V
87,167.930,694,217,V
88,167.963,688,223,V
89,167.997,686,209,V
90,168.030,682,198,S
91,168.063,679,188,V
92,168.097,676,180,V
93,168.130,674,172,V
94,168.163,671,164,V
95,168.197,668,158,V
96,168.230,666,151,V
97,168.263,663,144,V
98,168.297,663,146,V
99,168.330,660,142,V
100,168.363,654,138,V
101,168.397,644,135,V
102,168.430,635,134,V
103,168.463,625,134,V
104,168.497,617,132,V
105,168.530,607,132,V
106,168.563,598,130,V
107,168.597,585,134,V
108,168.630,575,139,V
109,168.663,561,140,V
110,168.697,553,145,V
111,168.730,542,155,V
112,168.763,532,160,V
113,168.797,522,169,V
114,168.830,512,178,S
115,168.863,496,188,V
116,168.897,486,197,S
117,168.930,473,208,S
118,168.963,462,226,S
119,168.997,452,240,V
120,169.030,436,260,S
121,169.063,425,274,S
122,169.097,412,292,S
123,169.130,400,316,S
124,169.163,389,336,S
125,169.197,375,357,V
126,169.230,384,356,S
127,169.263,396,343,V
128,169.297,420,319,V
129,169.330,436,306,V
130,169.363,453,295,V
131,169.397,466,283,V
132,169.430,476,272,S
133,169.463,497,261,S
134,169.497,507,249,V
135,169.530,524,240,S
136,169.563,544,238,S
137,169.597,553,229,V
138,169.630,566,229,V
139,169.663,581,224,V
140,169.697,593,222,V
141,169.730,606,219,V
142,169.763,620,218,V
143,169.797,630,218,V
144,169.830,640,218,V
145,169.863,654,219,V
146,169.897,667,224,V
147,169.930,679,225,V
148,169.963,690,231,V
149,169.997,703,235,V
150,170.030,713,241,V
151,170.063,722,249,V
152,170.097,735,254,V
153,170.130,748,263,V
154,170.163,756,273,S
