frame,t_s,x,y,vis
27,58.827,486,592,V
28,58.860,491,592,V
29,58.894,495,585,V
30,58.927,497,582,V
31,58.960,505,572,V
32,58.994,508,562,V
33,59.027,514,555,V
34,59.060,516,546,V
35,59.094,522,540,V
36,59.127,522,534,V
37,59.160,522,534,V
38,59.194,523,537,V
39,59.227,523,538,V
40,59.260,527,534,V
41,59.294,528,542,V
42,59.327,526,544,V
43,59.360,527,555,V
44,59.394,529,558,V
45,59.427,533,569,V
46,59.460,555,519,S
47,59.494,574,466,S
48,59.527,594,423,S
49,59.560,612,382,S
50,59.594,634,346,S
51,59.627,642,321,S
52,59.660,658,294,S
53,59.694,670,274,S
54,59.727,681,257,S
55,59.760,693,239,S
56,59.794,704,228,S
57,59.827,713,217,S
58,59.860,721,210,V
59,59.894,731,204,V
60,59.927,738,198,V
61,59.960,745,196,V
62,59.994,751,194,V
63,60.027,759,196,V
64,60.060,766,193,V
65,60.094,768,197,V
66,60.127,777,198,V
67,60.160,783,202,V
68,60.194,786,209,V
69,60.227,789,201,S
70,60.260,791,193,S
71,60.294,796,178,S
72,60.327,802,164,V
73,60.360,805,151,V
74,60.394,809,145,V
75,60.427,812,137,V
76,60.460,815,128,V
77,60.494,818,122,V
78,60.527,820,116,V
79,60.560,821,114,V
80,60.594,810,113,V
81,60.627,798,111,V
82,60.660,788,113,V
83,60.694,773,116,S
84,60.727,767,117,S
85,60.760,754,121,V
86,60.794,742,122,V
87,60.827,731,129,V
88,60.860,720,132,V
89,60.894,706,140,V
90,60.927,697,146,V
91,60.960,679,156,V
92,60.994,667,165,V
93,61.027,655,174,S
94,61.060,640,187,S
95,61.094,626,197,S
96,61.127,609,215,S
97,61.160,593,233,S
98,61.194,580,247,S
99,61.227,558,272,S
100,61.260,549,289,S
101,61.294,532,309,V
102,61.327,514,334,V
103,61.360,495,357,S
104,61.394,480,384,S
105,61.427,458,410,S
106,61.460,442,442,S
107,61.494,426,471,S
108,61.527,405,503,S
109,61.560,384,540,S
110,61.594,369,544,V
111,61.627,354,539,V
112,61.660,345,538,V
113,61.694,325,550,I
