frame,t_s,x,y,vis
29,295.747,559,575,I
30,295.780,583,521,S
31,295.813,598,468,S
32,295.847,615,421,S
33,295.880,626,386,S
34,295.913,641,350,S
35,295.947,652,325,S
36,295.980,665,299,S
37,296.013,674,283,S
38,296.047,683,265,S
39,296.080,692,252,S
40,296.113,699,240,V
41,296.147,704,228,V
42,296.180,718,220,V
43,296.213,720,218,V
44,296.247,727,210,V
45,296.280,735,209,V
46,296.313,740,207,V
47,296.347,746,208,V
48,296.380,751,209,V
49,296.413,756,210,V
50,296.447,762,214,V
51,296.480,764,220,V
52,296.513,770,210,V
53,296.547,769,197,V
54,296.580,777,182,S
55,296.613,779,169,V
56,296.647,782,161,V
57,296.680,786,155,V
58,296.713,788,142,V
59,296.747,790,135,V
60,296.780,794,130,V
61,296.813,799,130,V
62,296.847,796,123,V
63,296.880,789,124,V
64,296.913,779,126,V
65,296.947,768,127,V
66,296.980,761,129,V
67,297.013,750,129,V
68,297.047,738,135,V
69,297.080,730,140,V
70,297.113,719,145,V
71,297.147,705,153,V
72,297.180,694,161,V
73,297.213,682,171,V
74,297.247,670,177,V
75,297.280,658,191,S
76,297.313,645,204,S
77,297.347,630,217,S
78,297.380,618,229,S
79,297.413,603,247,S
80,297.447,587,266,S
81,297.480,576,287,S
82,297.513,560,304,V
83,297.547,545,327,V
84,297.580,532,354,S
85,297.613,516,380,V
86,297.647,501,406,S
87,297.680,485,434,S
88,297.713,465,466,S
89,297.747,453,498,V
90,297.780,438,501,V
91,297.813,428,502,V
92,297.847,414,498,V
93,297.880,404,502,V
94,297.913,391,502,V
95,297.947,379,506,V
96,297.980,356,522,I
97,298.013,353,527,I
98,298.047,352,528,I
99,298.080,358,505,I
100,298.113,368,490,I
101,298.147,396,452,V
102,298.180,421,422,S
103,298.213,439,402,V
104,298.247,465,374,V
105,298.280,486,352,S
106,298.313,506,334,S
107,298.347,524,322,S
108,298.380,543,304,S
109,298.413,559,294,S
110,298.447,578,282,S
111,298.480,594,271,V
112,298.513,614,268,S
113,298.547,625,261,S
114,298.580,639,255,V
115,298.613,654,254,V
116,298.647,667,250,V
117,298.680,679,252,V
118,298.713,690,251,V
119,298.747,703,254,V
120,298.780,715,256,V
121,298.813,725,258,S
122,298.847,743,266,V
123,298.880,746,268,S
124,298.913,754,277,S
125,298.947,768,286,S
126,298.980,774,289,V
127,299.013,780,281,S
128,299.047,790,260,S
129,299.080,793,255,V
130,299.113,795,244,V
131,299.147,784,241,V
132,299.180,767,238,V
133,299.213,753,235,V
134,299.247,740,234,V
135,299.280,722,229,V
136,299.313,711,228,S
137,299.347,694,229,V
138,299.380,682,233,V
139,299.413,666,235,V
140,299.447,655,238,S
141,299.480,639,242,S
142,299.513,623,246,S
143,299.547,613,252,S
144,299.580,593,261,S
145,299.613,576,270,V
146,299.647,562,281,S
147,299.680,545,290,V
148,299.713,532,297,V
149,299.747,513,313,V
150,299.780,498,327,V
151,299.813,484,340,V
152,299.847,470,356,V
153,299.880,457,368,V
154,299.913,422,389,V
155,299.947,423,406,V
156,299.980,401,385,V
157,300.013,391,380,V
158,300.047,383,384,V
159,300.080,390,383,V
