frame,t_s,x,y,vis
36,40.244,860,550,V
37,40.277,862,551,V
38,40.311,862,551,V
39,40.344,860,553,V
40,40.377,859,560,I
41,40.411,859,561,I
42,40.444,859,562,I
43,40.477,859,565,I
44,40.511,865,587,V
45,40.544,862,598,I
46,40.577,849,565,I
47,40.611,801,510,S
48,40.644,773,469,S
49,40.677,746,427,S
50,40.711,724,393,S
51,40.744,698,357,S
52,40.777,679,330,S
53,40.811,660,304,S
54,40.844,642,283,S
55,40.877,624,261,S
56,40.911,612,241,S
57,40.944,597,228,S
58,40.977,587,210,V
59,41.011,576,203,V
60,41.044,565,191,V
61,41.077,554,183,V
62,41.111,545,174,V
63,41.144,537,167,V
64,41.177,530,165,V
65,41.211,522,162,V
66,41.244,514,159,V
67,41.277,514,159,V
68,41.311,506,159,V
69,41.344,501,159,V
70,41.377,496,161,V
71,41.411,495,161,V
72,41.444,489,166,V
73,41.477,484,172,V
74,41.511,484,174,V
75,41.544,480,181,V
76,41.577,479,186,V
77,41.611,476,193,V
78,41.644,475,201,V
79,41.677,474,202,V
80,41.711,474,188,S
81,41.744,473,178,S
82,41.777,473,167,S
83,41.811,474,158,S
84,41.844,475,149,V
85,41.877,474,142,V
86,41.911,475,135,V
87,41.944,475,129,V
88,41.977,475,129,V
89,42.011,476,121,V
90,42.044,478,119,V
91,42.077,482,117,V
92,42.111,481,117,V
93,42.144,480,119,V
94,42.177,480,119,V
95,42.211,480,124,V
96,42.244,481,128,V
97,42.277,484,135,V
98,42.311,481,139,V
99,42.344,481,145,V
100,42.377,481,153,V
101,42.411,482,166,V
102,42.444,480,172,V
103,42.477,481,186,V
104,42.511,481,198,V
105,42.544,480,212,S
106,42.577,480,219,S
107,42.611,479,238,S
108,42.644,479,260,S
109,42.677,476,274,S
110,42.711,475,300,S
111,42.744,474,322,S
112,42.777,474,345,S
113,42.811,471,374,S
114,42.844,471,404,S
115,42.877,470,433,S
116,42.911,466,469,S
117,42.944,465,510,S
118,42.977,466,538,S
119,43.011,460,555,V
120,43.044,459,558,V
121,43.077,459,558,V
122,43.111,459,558,V
123,43.144,459,559,V
124,43.177,459,559,V
125,43.211,459,570,V
126,43.244,459,580,V
127,43.277,457,593,V
128,43.311,455,602,V
129,43.344,455,597,I
130,43.377,464,539,S
131,43.411,469,487,S
132,43.444,475,439,S
133,43.477,480,402,S
134,43.511,485,369,S
135,43.544,489,335,S
136,43.577,492,309,S
137,43.611,497,288,S
138,43.644,500,271,S
139,43.677,503,249,S
140,43.711,507,234,S
141,43.744,510,223,S
142,43.777,514,212,V
143,43.811,516,203,S
144,43.844,518,197,V
145,43.877,522,187,V
146,43.911,527,182,V
147,43.944,527,181,V
