frame,t_s,x,y,vis
37,90.888,855,532,V
38,90.922,854,533,V
39,90.955,854,533,V
40,90.988,852,534,V
41,91.022,852,530,V
42,91.055,853,543,V
43,91.088,853,549,V
44,91.122,853,554,V
45,91.155,849,553,I
46,91.188,818,490,I
47,91.222,782,446,I
48,91.255,746,401,S
49,91.288,719,372,S
50,91.322,689,326,S
51,91.355,666,299,S
52,91.388,646,278,S
53,91.422,625,255,S
54,91.455,606,238,S
55,91.488,590,220,S
56,91.522,572,209,S
57,91.555,558,202,S
58,91.588,546,193,S
59,91.622,534,185,S
60,91.655,524,183,S
61,91.688,512,177,V
62,91.722,502,178,V
63,91.755,491,178,V
64,91.788,485,182,V
65,91.822,475,181,V
66,91.855,471,187,S
67,91.888,463,190,S
68,91.922,455,191,V
69,91.955,452,197,V
70,91.988,443,198,S
71,92.022,437,186,S
72,92.055,432,167,S
73,92.088,432,159,S
74,92.122,426,149,S
75,92.155,422,140,S
76,92.188,417,130,S
77,92.222,411,122,S
78,92.255,410,116,V
79,92.288,407,114,V
80,92.322,412,116,V
81,92.355,417,119,V
82,92.388,422,122,V
83,92.422,428,128,V
84,92.455,431,133,V
85,92.488,437,139,V
86,92.522,442,146,V
87,92.555,446,151,V
88,92.588,450,161,V
89,92.622,454,167,V
90,92.655,459,180,V
91,92.688,465,191,S
92,92.722,473,207,S
93,92.755,475,222,S
94,92.788,481,239,S
95,92.822,487,256,S
96,92.855,492,279,S
97,92.888,497,300,S
98,92.922,503,326,S
99,92.955,507,350,S
100,92.988,513,368,S
101,93.022,519,400,S
102,93.055,527,430,S
103,93.088,533,459,S
104,93.122,540,496,S
105,93.155,542,494,V
106,93.188,543,492,V
107,93.222,548,491,V
108,93.255,549,494,V
109,93.288,555,502,V
110,93.322,559,506,V
111,93.355,559,512,V
112,93.388,562,524,V
113,93.422,565,532,I
114,93.455,567,506,I
115,93.488,555,460,S
116,93.522,551,426,S
117,93.555,550,389,S
118,93.588,546,363,S
119,93.622,542,341,V
120,93.655,539,320,S
121,93.688,533,294,S
122,93.722,530,277,S
123,93.755,526,257,S
124,93.788,523,247,V
125,93.822,518,238,V
126,93.855,516,224,V
127,93.888,512,213,V
128,93.922,512,213,V
129,93.955,507,206,V
130,93.988,507,210,V
131,94.022,502,199,V
132,94.055,498,197,V
133,94.088,497,196,V
134,94.122,495,196,V
135,94.155,494,197,V
136,94.188,490,197,V
137,94.222,487,203,V
138,94.255,485,207,V
139,94.288,489,215,V
140,94.322,498,223,V
141,94.355,505,234,V
142,94.388,512,247,V
143,94.422,521,261,S
144,94.455,530,278,S
145,94.488,538,299,S
146,94.522,545,319,S
147,94.555,554,342,S
148,94.588,561,364,S
149,94.622,570,393,S
150,94.655,580,423,S
151,94.688,588,452,S
152,94.722,593,448,S
153,94.755,596,420,S
154,94.788,598,395,S
155,94.822,601,377,V
156,94.855,604,354,V
157,94.888,604,340,V
158,94.922,607,326,V
159,94.955,610,308,V
160,94.988,613,294,V
161,95.022,615,284,V
162,95.055,618,274,V
163,95.088,622,266,V
164,95.122,620,260,V
165,95.155,626,252,V
166,95.188,629,246,V
167,95.222,629,244,V
168,95.255,633,241,V
169,95.288,634,240,V
170,95.322,638,239,V
171,95.355,639,240,V
172,95.388,642,239,V
173,95.422,645,240,V
174,95.455,647,246,V
175,95.488,650,247,V
176,95.522,650,249,V
177,95.555,651,254,V
178,95.588,654,258,V
179,95.622,649,257,V
180,95.655,639,255,S
181,95.688,625,254,S
182,95.722,613,250,S
183,95.755,603,251,V
184,95.788,588,247,V
185,95.822,578,251,V
186,95.855,564,251,V
187,95.888,551,254,S
188,95.922,540,263,S
189,95.955,528,261,V
190,95.988,514,268,V
191,96.022,503,276,S
192,96.055,494,284,S
193,96.088,479,295,V
194,96.122,466,304,V
195,96.155,453,316,V
196,96.188,439,329,V
197,96.222,431,341,S
198,96.255,416,358,S
199,96.288,399,374,I
200,96.322,383,383,I
201,96.355,369,388,I
202,96.388,358,390,I
203,96.422,354,390,I
204,96.455,337,395,I
205,96.488,331,395,I
206,96.522,322,396,I
207,96.555,316,399,I
208,96.588,313,430,I
209,96.622,300,442,I
210,96.655,299,446,I
211,96.688,295,428,I
212,96.722,309,421,I
213,96.755,325,410,I
214,96.788,356,373,S
215,96.822,383,352,S
216,96.855,409,335,V
217,96.888,430,319,V
218,96.922,452,309,V
219,96.955,475,293,V
220,96.988,494,286,V
221,97.022,517,272,V
222,97.055,537,265,S
223,97.088,555,257,S
224,97.122,574,249,V
225,97.155,591,244,V
226,97.188,610,242,V
227,97.222,626,235,S
228,97.255,644,238,V
229,97.288,657,235,V
230,97.322,674,234,V
231,97.355,688,234,V
232,97.388,702,235,V
233,97.422,715,238,V
234,97.455,729,240,V
235,97.488,743,242,V
236,97.522,756,245,V
237,97.555,773,252,V
238,97.588,775,256,V
239,97.622,762,250,V
240,97.655,746,247,V
241,97.688,732,244,S
242,97.722,716,242,S
243,97.755,704,244,V
244,97.788,688,242,V
245,97.822,673,244,V
246,97.855,656,245,V
247,97.888,644,250,V
248,97.922,630,254,V
249,97.955,615,260,V
250,97.988,601,266,V
251,98.022,587,276,S
252,98.055,570,284,S
253,98.088,556,293,V
254,98.122,542,305,V
255,98.155,528,316,V
256,98.188,513,330,V
257,98.222,500,341,V
258,98.255,485,357,V
259,98.288,471,370,V
260,98.322,470,356,V
261,98.355,471,336,V
262,98.388,475,314,V
263,98.422,476,298,V
264,98.455,479,286,V
265,98.488,481,268,S
266,98.522,484,256,S
267,98.555,485,242,V
268,98.588,485,231,V
269,98.622,489,224,V
270,98.655,489,214,V
271,98.688,491,208,V
272,98.722,495,202,V
273,98.755,495,197,V
274,98.788,497,197,V
275,98.822,498,193,V
276,98.855,498,193,V
277,98.888,501,193,V
278,98.922,503,193,V
279,98.955,503,194,V
280,98.988,503,196,V
281,99.022,505,199,V
282,99.055,507,204,V
283,99.088,510,208,V
284,99.122,510,217,V
285,99.155,517,217,V
286,99.188,528,223,V
287,99.222,535,226,V
288,99.255,544,233,V
289,99.288,554,240,V
290,99.322,566,251,V
291,99.355,577,263,S
292,99.388,587,273,V
293,99.422,597,288,V
294,99.455,609,305,S
295,99.488,625,324,S
296,99.522,634,341,S
297,99.555,644,356,S
298,99.588,657,378,S
299,99.622,670,398,I
300,99.655,677,380,S
301,99.688,682,359,S
302,99.722,689,335,S
303,99.755,697,311,S
304,99.788,704,290,S
305,99.822,710,277,S
306,99.855,716,255,S
307,99.888,722,242,V
308,99.922,726,229,V
309,99.955,732,217,V
310,99.988,738,207,V
311,100.022,741,197,V
312,100.055,748,188,V
313,100.088,753,181,V
314,100.122,758,175,V
315,100.155,763,174,V
316,100.188,769,170,V
317,100.222,774,166,V
318,100.255,774,166,V
319,100.288,782,165,V
320,100.322,785,165,V
321,100.355,790,169,V
322,100.388,794,171,V
323,100.422,796,172,V
324,100.455,802,177,V
325,100.488,805,183,V
326,100.522,807,190,V
327,100.555,811,197,V
328,100.588,816,203,V
329,100.622,818,212,V
330,100.655,820,218,V
331,100.688,795,231,S
332,100.722,780,238,S
333,100.755,759,254,S
334,100.788,737,270,S
335,100.822,718,283,S
336,100.855,695,303,S
337,100.888,674,321,S
338,100.922,652,342,S
339,100.955,626,368,S
340,100.988,606,396,S
341,101.022,587,420,I
342,101.055,578,402,S
343,101.088,576,380,V
344,101.122,574,361,V
345,101.155,575,341,V
346,101.188,575,325,V
347,101.222,572,310,V
348,101.255,570,295,V
349,101.288,569,283,V
350,101.322,570,274,V
351,101.355,569,263,V
352,101.388,566,254,V
353,101.422,566,250,V
354,101.455,564,244,V
355,101.488,564,240,V
356,101.522,562,236,V
357,101.555,561,230,V
358,101.588,561,231,V
359,101.622,561,230,V
360,101.655,560,230,V
361,101.688,560,230,V
362,101.722,556,233,V
363,101.755,558,233,V
364,101.788,555,238,V
365,101.822,554,242,V
366,101.855,555,250,V
367,101.888,551,254,V
368,101.922,554,257,V
369,101.955,550,263,V
370,101.988,551,261,V
371,102.022,548,249,V
372,102.055,548,241,V
373,102.088,546,236,V
374,102.122,545,229,V
375,102.155,544,223,V
376,102.188,543,217,V
377,102.222,540,214,V
378,102.255,539,209,V
379,102.288,535,208,V
380,102.322,530,206,V
381,102.355,537,208,V
382,102.388,526,204,V
383,102.422,524,206,V
384,102.455,522,207,V
385,102.488,518,212,V
386,102.522,514,215,V
387,102.555,512,219,V
388,102.588,508,225,V
389,102.622,505,231,V
390,102.655,503,242,V
391,102.688,497,250,V
392,102.722,494,263,V
393,102.755,492,273,I
394,102.788,485,288,V
395,102.822,482,303,V
396,102.855,481,322,V
397,102.888,482,332,I
398,102.922,496,319,V
399,102.955,514,303,V
400,102.988,532,292,V
401,103.022,549,282,V
402,103.055,566,272,V
403,103.088,581,265,V
404,103.122,597,256,S
405,103.155,612,251,V
406,103.188,630,244,S
407,103.222,641,241,S
408,103.255,655,239,V
409,103.288,667,239,V
410,103.322,683,235,V
411,103.355,695,236,V
412,103.388,709,236,V
413,103.422,720,241,V
414,103.455,730,242,V
415,103.488,745,246,V
416,103.522,753,250,V
417,103.555,763,255,V
418,103.588,777,260,V
419,103.622,788,262,V
420,103.655,790,254,V
421,103.688,796,246,V
422,103.722,793,242,V
423,103.755,790,240,V
424,103.788,790,236,V
425,103.822,786,236,V
426,103.855,784,233,V
427,103.888,780,234,V
428,103.922,779,233,V
429,103.955,774,238,V
430,103.988,773,240,V
431,104.022,770,241,V
432,104.055,767,246,V
433,104.088,763,251,V
434,104.122,761,258,V
435,104.155,761,266,S
436,104.188,756,274,S
437,104.222,756,281,V
438,104.255,754,283,V
439,104.288,753,289,V
